SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22024,1610612750,MIN,Minnesota Timberwolves,Spotup,Defensive,0.966,82,0.215,0.996,0.382,0.039,0.057,0.037,0.009,0.377,0.516,1942,1934,678,1773,1095
22024,1610612738,BOS,Boston Celtics,Spotup,Defensive,1.0,82,0.231,0.975,0.371,0.035,0.048,0.032,0.006,0.37,0.498,2060,2009,705,1902,1197
22024,1610612757,POR,Portland Trail Blazers,Spotup,Defensive,0.276,82,0.206,1.063,0.396,0.047,0.046,0.044,0.008,0.399,0.54,1904,2023,691,1744,1053
22024,1610612765,DET,Detroit Pistons,Spotup,Defensive,0.793,82,0.214,1.034,0.384,0.05,0.052,0.042,0.01,0.387,0.529,1977,2044,690,1796,1106
22024,1610612766,CHA,Charlotte Hornets,Spotup,Defensive,0.448,82,0.218,1.053,0.395,0.032,0.047,0.031,0.008,0.39,0.542,1975,2079,724,1834,1110
22024,1610612756,PHX,Phoenix Suns,Spotup,Defensive,0.0,82,0.208,1.127,0.421,0.04,0.039,0.037,0.011,0.419,0.577,1899,2141,745,1769,1024
22024,1610612746,LAC,LA Clippers,Spotup,Defensive,0.586,82,0.233,1.042,0.396,0.043,0.053,0.04,0.008,0.394,0.537,2085,2172,754,1902,1148
22024,1610612749,MIL,Milwaukee Bucks,Spotup,Defensive,0.621,82,0.232,1.041,0.393,0.043,0.045,0.039,0.01,0.392,0.534,2131,2219,773,1965,1192
22024,1610612761,TOR,Toronto Raptors,Spotup,Defensive,0.759,82,0.231,1.034,0.384,0.057,0.043,0.054,0.009,0.394,0.522,2153,2226,752,1957,1205
22024,1610612754,IND,Indiana Pacers,Spotup,Defensive,0.828,82,0.232,1.034,0.398,0.041,0.053,0.037,0.01,0.394,0.533,2163,2236,789,1983,1194
22024,1610612764,WAS,Washington Wizards,Spotup,Defensive,0.517,82,0.226,1.047,0.392,0.049,0.045,0.043,0.007,0.396,0.534,2142,2243,767,1956,1189
22024,1610612747,LAL,Los Angeles Lakers,Spotup,Defensive,0.414,82,0.234,1.053,0.403,0.044,0.052,0.041,0.007,0.402,0.542,2132,2246,783,1942,1159
22024,1610612742,DAL,Dallas Mavericks,Spotup,Defensive,0.345,82,0.23,1.056,0.404,0.038,0.044,0.035,0.007,0.402,0.541,2143,2264,800,1982,1182
22024,1610612748,MIA,Miami Heat,Spotup,Defensive,0.862,82,0.25,1.017,0.394,0.039,0.064,0.037,0.011,0.383,0.531,2236,2275,800,2029,1229
22024,1610612741,CHI,Chicago Bulls,Spotup,Defensive,0.552,82,0.231,1.043,0.393,0.039,0.042,0.039,0.006,0.394,0.531,2193,2288,796,2027,1231
22024,1610612763,MEM,Memphis Grizzlies,Spotup,Defensive,0.31,82,0.228,1.058,0.392,0.05,0.049,0.045,0.01,0.397,0.537,2184,2310,780,1989,1209
22024,1610612755,PHI,Philadelphia 76ers,Spotup,Defensive,0.69,82,0.246,1.035,0.387,0.04,0.057,0.038,0.007,0.384,0.535,2245,2323,791,2043,1252
22024,1610612762,UTA,Utah Jazz,Spotup,Defensive,0.241,82,0.231,1.074,0.4,0.05,0.036,0.045,0.01,0.406,0.541,2164,2324,799,2000,1201
22024,1610612759,SAS,San Antonio Spurs,Spotup,Defensive,0.103,82,0.229,1.092,0.416,0.031,0.043,0.029,0.007,0.411,0.561,2129,2324,826,1987,1161
22024,1610612737,ATL,Atlanta Hawks,Spotup,Defensive,0.138,82,0.229,1.089,0.414,0.045,0.056,0.044,0.011,0.409,0.563,2160,2352,814,1965,1151
22024,1610612739,CLE,Cleveland Cavaliers,Spotup,Defensive,0.724,82,0.244,1.034,0.389,0.043,0.047,0.038,0.007,0.389,0.531,2276,2354,812,2088,1276
22024,1610612744,GSW,Golden State Warriors,Spotup,Defensive,0.207,82,0.247,1.078,0.411,0.045,0.05,0.041,0.008,0.411,0.553,2242,2416,842,2047,1205
22024,1610612751,BKN,Brooklyn Nets,Spotup,Defensive,0.379,82,0.259,1.055,0.398,0.048,0.055,0.044,0.012,0.396,0.539,2298,2424,831,2088,1257
22024,1610612740,NOP,New Orleans Pelicans,Spotup,Defensive,0.483,82,0.251,1.05,0.394,0.042,0.049,0.039,0.011,0.392,0.538,2320,2437,841,2135,1294
22024,1610612760,OKC,Oklahoma City Thunder,Spotup,Defensive,0.931,82,0.265,0.997,0.381,0.049,0.06,0.047,0.009,0.381,0.516,2466,2459,845,2219,1374
22024,1610612743,DEN,Denver Nuggets,Spotup,Defensive,0.069,82,0.244,1.094,0.422,0.05,0.048,0.048,0.013,0.421,0.56,2282,2496,882,2090,1208
22024,1610612758,SAC,Sacramento Kings,Spotup,Defensive,0.034,82,0.263,1.103,0.411,0.051,0.05,0.046,0.012,0.412,0.561,2383,2628,892,2172,1280
22024,1610612763,MEM,Memphis Grizzlies,Transition,Offensive,0.69,82,0.242,1.148,0.529,0.117,0.117,0.105,0.029,0.506,0.618,2343,2689,986,1863,877
22024,1610612741,CHI,Chicago Bulls,Transition,Offensive,0.655,82,0.243,1.145,0.529,0.124,0.112,0.116,0.027,0.509,0.616,2284,2616,954,1805,851
22024,1610612737,ATL,Atlanta Hawks,Transition,Offensive,0.31,82,0.211,1.115,0.543,0.115,0.137,0.108,0.027,0.503,0.618,2018,2250,848,1563,715
22024,1610612743,DEN,Denver Nuggets,Transition,Offensive,0.931,82,0.198,1.176,0.581,0.137,0.13,0.127,0.03,0.545,0.648,1836,2160,814,1402,588
22024,1610612761,TOR,Toronto Raptors,Transition,Offensive,0.069,82,0.217,1.051,0.499,0.119,0.112,0.112,0.024,0.485,0.563,2049,2154,811,1625,814
